iso3c,year,pop_wdi,pop_0_to_14,pop_15_to_64,labor_force_partic_ILO,labor_force_partic_ILO_female,pop_percent_male
AFG,2012,30560034,47.6053053475006,15297370,46.956,16.208,50.5002285010547
AFG,2013,31622704,47.161386009242,15965938,47.026,17.138,50.5173498129698
AFG,2014,32792523,46.7130662681856,16701362,47.096,18.107,50.5318849665822
AFG,2015,33831764,46.2593370280565,17384103,47.165,19.113,50.5427975910449
AFG,2016,34700612,45.801448689147,17989857,47.235,20.156,50.550449930092
AFG,2017,35688935,45.3646045386981,18656626,47.305,21.24,50.5450751052112
AFG,2018,36743039,44.9596071789272,19353761,45.57,19.808,50.5255485263481
AFG,2019,37856121,44.5768321059625,20081542,43.823,18.304,50.5060912078129
AFG,2020,39068979,44.2241042439322,20864851,41.579,16.473,50.4887778101394
AFG,2021,40000412,43.90812524631,21495952,40.932,14.666,50.4656202041119
AFG,2022,40578842,43.5798414355935,21938957,37.64,5.159,50.4589928909258
AFG,2023,41454761,43.2262038611198,22549839,37.673,5.155,50.4744871162084
AFG,2024,42647492,42.8875055536677,23333093,37.496,5.104,50.4895809582425
AFE,2012,559609961,43.3482534252719,300452171,70.8742097956202,65.1696413963535,49.3743927929491
AFE,2013,575202699,43.1559550188787,309838563,70.8321359233157,65.1226431136137,49.3904321677699
AFE,2014,590968990,42.9534644221156,319409234,69.952756588816,64.1610670530279,49.4085412072191
AFE,2015,607123269,42.7233815091694,329398607,69.6220672794621,63.7123246891595,49.4342506020873
AFE,2016,623369401,42.4979802213119,339468543,69.1383107261612,63.1207792478094,49.4457405332626
AFE,2017,640058741,42.2500793269185,349952708,68.5000851105972,62.3954738998862,49.4485026997972
AFE,2018,657801085,41.9546758302857,361339357,68.0885438773855,61.8404685596568,49.4598352404643
AFE,2019,675950189,41.666632698703,372963801,67.7467251332871,61.3569933667718,49.4681899233531
AFE,2020,694446100,41.3817331495154,384904376,66.2909266940518,59.7730096303287,49.4748831417855
AFE,2021,713090928,41.1058662123151,397031637,66.7955117833261,60.2795457663933,49.480584322379
AFE,2022,731821393,40.8389553211614,409197442,67.0076428594843,60.4451440611472,49.4882896959016
AFE,2023,750503764,40.5685724137135,421370074,69.306943028933,64.0752066478055,49.4971555976701
AFE,2024,769294618,40.3014830241168,433631182,69.1823956148382,63.9077447655881,49.5041243948145
AFW,2012,385360349,44.1909213002951,203703225,73.2589962169391,67.4965521298201,50.2043888280905
AFW,2013,396030207,44.152106153296,209530426,72.9033345134496,67.1411492784891,50.2338925117018
AFW,2014,406992047,44.1009945008649,215602741,72.5374370019272,66.7818112278426,50.2555224452429
AFW,2015,418127845,44.0270360680179,221869917,72.2709478576196,66.4613903038806,50.2700213536533
AFW,2016,429454743,43.8915216631381,228492552,72.2171522000035,66.2334552197649,50.2859047391496
AFW,2017,440882906,43.7002709327505,235428779,71.7587450740592,65.7237315331615,50.3011171437594
AFW,2018,452195915,43.4670694818547,242513766,71.5327209476342,65.4250728209457,50.3151850736823
AFW,2019,463365429,43.1925596083777,249741248,71.329539073268,65.1782237637376,50.3272356826501
AFW,2020,474569351,42.8696578039653,257282262,70.803235957811,64.4391106612636,50.3364629354239
AFW,2021,485920997,42.5112354003656,265141681,70.9075859727742,64.780003166331,50.3452387396958
AFW,2022,497387180,42.1309753627365,273210965,70.9184144510031,64.7385209779595,50.3508907379309
AFW,2023,509398589,41.7189552341143,281793170,71.4161221955426,66.3493449010648,50.3533313714076
AFW,2024,521764076,41.2951130365132,290710946,71.2829385395764,66.1817272096567,50.358429994448
ALB,2012,2900401,20.2920855091608,1978033,56.995,48.937,49.4852928037212
ALB,2013,2895092,19.794192578173,1979828,52.418,43.783,49.4829192594649
ALB,2014,2889104,19.3865379916553,1977496,53.42,43.958,49.4831855359449
ALB,2015,2880703,18.9935976695213,1972224,55.497,47.116,49.4853779300028
ALB,2016,2876101,18.6062746506784,1969367,57.314,49.888,49.4893138606133
ALB,2017,2873457,18.2833562063906,1965768,58.057,49.736,49.4935034777967
ALB,2018,2866376,18.0052663384505,1956451,59.296,51.407,49.4974658208001
ALB,2019,2854191,17.7442916565786,1941067,60.306,52.93,49.5030866444137
ALB,2020,2837849,17.5219758955011,1921536,57.78,50.616,49.4926798966836
ALB,2021,2811666,17.3674317294264,1894123,58.869,51.887,49.4678969524529
ALB,2022,2777689,17.2224721389952,1861085,60.421,53.183,49.4505249666856
ALB,2023,2745972,17.0419734995937,1830356,60.432,53.207,49.4407742059392
ALB,2024,2714617,16.8407829528601,1798066,60.675,53.512,49.4318826978632
DZA,2012,37646166,27.7156085429789,25351734,43.11,14.821,51.2330472112353
DZA,2013,38414171,28.0774960876092,25707678,42.874,15.036,51.2108278999435
DZA,2014,39205031,28.5548763952626,26016043,42.603,15.256,51.1882429371946
