year,iso3c,employed,total_hours
1997,NOR,2221000,3261000000
1997,POL,15177100,31596516000
1997,PRT,4725552,8948871000
1997,SVK,2128906,3895901000
1997,SVN,887682,1522340000
1997,ESP,14584000,25423000000
1997,SWE,4090000,6756940000
1997,CHE,3898966.131,6579331000
1997,GBR,26522786,45224437000
1997,USA,131934000,NA
1997,BGR,3503914,5980710000
1997,HRV,1556089,2992653000
1997,CYP,299325,570606000
1997,MLT,147509,315924000
1997,ROU,11331900,21083271000
1998,AUT,3664440,6569488000
1998,CRI,1394695,3294665000
1998,CZE,5007586,9318890000
1998,DNK,2712123,3908531000
1998,EST,607400,NA
1998,FIN,2207800,3789700000
1998,FRA,24463000,38282800000
1998,DEU,38500000,57865880000
1998,GRC,4298700,9272884000
1998,ISR,2516879.7709999997,5074792000
1998,ITA,22107700,40891906000
1998,JPN,66989000,NA
1998,LTU,1494427,2701374000
1998,LUX,239929,383538000
1998,NLD,7840000,11670319000
1998,NOR,2280000,3344000000
1998,POL,15354400,31964724000
1998,PRT,4858132,9275077000
1998,SVK,2118874,3860286000
1998,SVN,886742,1532456000
1998,ESP,15222700,26676910000
1998,SWE,4158399.9999999995,6866180000
1998,CHE,3950720.893,6698582000
1998,GBR,26793530,46097514000
1998,USA,133785000,244778000000
1998,BGR,3467917,5722002000
1998,HRV,1551395,2983495000
1998,CYP,304024,581451000
1998,MLT,147209,318626000
1998,ROU,10990100,20432237000
1999,AUT,3719983,6682894000
1999,BEL,4028700,6346742000
1999,CAN,14729220,26438821000
1999,CRI,1412329,3355939000
1999,CZE,4899702,9263628000
1999,DNK,2734769,3983185000
1999,EST,580300,NA
1999,FIN,2253300,3867000000
1999,DEU,39125000,58306738000
1999,GRC,4308051,9270340000
1999,HUN,4058999,7930721000
1999,IRL,1697760,3235300000
1999,ISR,2590183.09,5240349000
1999,ITA,22362100,41305385000
1999,JPN,66091000,NA
1999,LVA,955917,2034661000
1999,LTU,1461517,2564765000
1999,LUX,250879,400932000
1999,NLD,8066000,11992987000
1999,NOR,2301000,3372000000
1999,PRT,4933240,9427196000
1999,SVK,2065188,3750882000
1999,SVN,900398,1560500000
1999,ESP,15915600,27985967000
1999,SWE,4245000,7052700000
