year,country,iso3c,pop,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_population_15_to_65,gdp_ppp_over_pop_adjusted_for_hours,estimated_using_past_value,estimated_using_model
2023,Aruba,ABW,106277,NA,NA,NA,NA,FALSE,TRUE
2023,Afghanistan,AFG,42239854,NA,NA,NA,NA,FALSE,TRUE
2023,Angola,AGO,36684202,2309.5216202979063,8040.543600620779,15295.842404104142,9386.655615930102,FALSE,TRUE
2023,Albania,ALB,2745972,8367.775731434225,21395.32503726331,31993.73721740409,20633.200712146998,FALSE,TRUE
2023,Andorra,AND,80088,46544.7207199483,71587.48177605771,99382.8674527364,56721.88303961855,FALSE,TRUE
2023,United Arab Emirates,ARE,9516871,52976.8083782405,83902.67112595253,101187.48673029977,59339.669599876186,FALSE,TRUE
2023,Argentina,ARG,46654581,13730.514709024674,29362.69241873226,45030.44145438357,29241.19415871964,FALSE,FALSE
2023,Armenia,ARM,2777970,8715.765336221773,23054.60052306911,34979.02657033999,21545.848550216775,FALSE,TRUE
2023,American Samoa,ASM,43914,NA,NA,NA,NA,FALSE,TRUE
2023,Antigua and Barbuda,ATG,94298,21560.21532996649,31802.377196501835,44984.63308896317,28325.76187471439,FALSE,TRUE
2023,Australia,AUS,26638544,64711.76560305661,69114.73789450654,106681.95387372654,57547.8440542787,FALSE,FALSE
2023,Austria,AUT,9132383,56505.96827968669,73751.35270638003,112729.74187673727,73804.61962994619,FALSE,FALSE
2023,Azerbaijan,AZE,10112555,7155.083603558962,23685.538639855306,34098.11842114874,22686.357732326614,FALSE,TRUE
2023,Burundi,BDI,13238559,199.58076018149256,950.879813933231,1816.1449984929418,1070.5399515875647,FALSE,TRUE
2023,Belgium,BEL,11822592,53475.2934952935,70455.95842579563,110836.92140815036,79220.42002802741,FALSE,FALSE
2023,Benin,BEN,13712828,1434.66283439144,4248.310817396215,7771.966889495716,5182.359739632045,FALSE,TRUE
2023,Burkina Faso,BFA,23251485,874.1212803813435,2726.9423099800206,5036.612241756101,3070.1048079174816,FALSE,TRUE
2023,Bangladesh,BGD,172954319,2529.080126880174,9065.698934284492,13291.737382747779,6887.9586934816725,FALSE,FALSE
2023,Bulgaria,BGR,6430370,15797.595577359623,38689.54807491653,60712.51524706173,32418.175526492723,FALSE,FALSE
2023,Bahrain,BHR,1485509,29084.307129744753,63847.82972826648,83911.58720516617,54880.48534041783,FALSE,TRUE
2023,"Bahamas, The",BHS,412623,34749.638289673625,35554.79948063971,49226.666396330496,31234.50254804282,FALSE,TRUE
2023,Bosnia and Herzegovina,BIH,3210847,8426.091110191548,22845.518548678097,34298.47602047403,21814.171594284708,FALSE,TRUE
2023,Belarus,BLR,9178298,7829.0531366062205,30751.49541885511,46798.965965878684,32178.01807892369,FALSE,TRUE
2023,Belize,BLZ,410825,7987.585955090367,14195.313620776536,21031.90501493247,12331.078351162603,FALSE,TRUE
2023,Bermuda,BMU,63489,NA,NA,NA,NA,FALSE,TRUE
2023,Bolivia,BOL,12388571,3700.978337728694,10726.998807830298,16596.29826434487,9239.408266920285,FALSE,TRUE
2023,Brazil,BRA,216422446,10043.623922156716,20584.419166157884,29497.11405079004,19999.516403580776,FALSE,FALSE
2023,Barbados,BRB,281995,22672.61543507314,19357.16944286764,29081.181425131508,19818.13214499894,FALSE,TRUE
2023,Brunei Darussalam,BRN,452524,33430.918478378604,86445.66052686023,120586.1071323096,48093.29787320461,FALSE,TRUE
2023,Bhutan,BTN,787424,NA,NA,NA,NA,FALSE,TRUE
2023,Botswana,BWA,2675352,7249.799325962602,19383.17259581999,30278.042380523824,23599.426269767522,FALSE,TRUE
2023,Central African Republic,CAF,5742315,445.02819598860566,1129.980453999338,2276.358750982629,1272.1788840122413,FALSE,TRUE
2023,Canada,CAN,40097761,53371.697431970075,61582.34997132658,94670.66455094801,54256.45787258302,FALSE,FALSE
2023,Switzerland,CHE,8849852,99994.93802047866,92980.401876095,142320.91219289324,76963.47459536495,FALSE,FALSE
2023,Chile,CHL,19629590,17093.24197139212,33284.49473386489,48695.951643309025,27809.929472060867,FALSE,FALSE
2023,China,CHN,1410710000,12614.060994892288,24557.6389534489,35618.9447209821,15012.231686591993,FALSE,FALSE
