year,country,iso3c,pop,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_pop_adjusted_for_hours,estimated_using_past_value,estimated_using_model
2022,Aruba,ABW,106445,NA,NA,NA,FALSE,FALSE
2022,Afghanistan,AFG,41128771,NA,NA,NA,FALSE,FALSE
2022,Angola,AGO,35588987,2998.501158109221,6973.696298896117,8853.403226962291,FALSE,FALSE
2022,Albania,ALB,2775634,6802.804518851117,18551.716479373972,18620.876227907695,FALSE,FALSE
2022,Andorra,AND,79824,41992.79335837718,NA,NA,FALSE,FALSE
2022,United Arab Emirates,ARE,9441129,53757.86325083081,87729.19126380606,67589.35317011691,FALSE,FALSE
2022,Argentina,ARG,46234830,13686.008673731689,26504.590561969624,28196.470791187912,FALSE,FALSE
2022,Armenia,ARM,2780469,7014.206591722727,18941.52680805285,18673.745815068367,FALSE,FALSE
2022,American Samoa,ASM,44273,NA,NA,NA,FALSE,FALSE
2022,Antigua and Barbuda,ATG,93763,18745.173508779582,25336.642598600727,23313.900164923984,FALSE,FALSE
2022,Australia,AUS,25978935,64491.42988606308,62625.35764236486,54324.269659155805,FALSE,FALSE
2022,Austria,AUT,9042528,52131.44665863871,67935.84797363736,71910.56927783035,FALSE,FALSE
2022,Azerbaijan,AZE,10175016,7736.701232069749,17764.44558854394,18535.35732844611,FALSE,FALSE
2022,Burundi,BDI,12889576,238.4418756554793,836.1875690276081,968.8653747919362,FALSE,FALSE
2022,Belgium,BEL,11669446,49582.825364918695,65027.29489540437,77095.15091240423,FALSE,FALSE
2022,Benin,BEN,13352864,1303.222013589444,4056.108340765989,5149.401570402572,FALSE,FALSE
2022,Burkina Faso,BFA,22673762,832.8842656740774,2545.8635486867643,2949.81548713515,FALSE,FALSE
2022,Bangladesh,BGD,171186372,2688.303950358274,7395.095986777264,6002.158808076586,FALSE,FALSE
2022,Bulgaria,BGR,6465097,13772.476794450957,33582.28261091952,30221.682042007724,FALSE,FALSE
2022,Bahrain,BHR,1472233,30152.034683860093,61227.89722114957,54710.07248965211,FALSE,FALSE
2022,"Bahamas, The",BHS,409984,31458.300811738995,40378.55174544007,36471.043994030086,FALSE,FALSE
2022,Bosnia and Herzegovina,BIH,3233526,7585.375001715217,20376.89219424727,20844.788979507222,FALSE,FALSE
2022,Belarus,BLR,9208701,7904.856242855177,22590.590922336385,23267.877900546177,FALSE,FALSE
2022,Belize,BLZ,405272,6968.361584808894,11450.916899537791,10524.17206474278,FALSE,FALSE
2022,Bermuda,BMU,63532,118845.6211043254,95837.03241948877,91240.85711607106,FALSE,FALSE
2022,Bolivia,BOL,12224110,3523.2737330519603,9683.61749663174,8849.397879761023,FALSE,FALSE
2022,Brazil,BRA,215313498,8917.673897969276,17821.737260987742,18497.172175321517,FALSE,FALSE
2022,Barbados,BRB,281635,20018.515151305415,17837.45322474724,17712.547066403837,FALSE,FALSE
2022,Brunei Darussalam,BRN,449002,37152.466237866865,69274.98414108668,43320.31637183141,FALSE,FALSE
2022,Bhutan,BTN,782455,NA,NA,NA,FALSE,FALSE
2022,Botswana,BWA,2630296,7737.6546811258895,18323.04570283934,22850.876416164778,FALSE,FALSE
2022,Central African Republic,CAF,5579144,427.0580962520774,967.2683238275674,1120.7447010715157,FALSE,FALSE
2022,Canada,CAN,38929902,54966.48883610881,58399.54548131845,53363.24849811884,FALSE,FALSE
2022,Switzerland,CHE,8769741,92101.4697414382,83598.45335656503,73251.52563478032,FALSE,FALSE
2022,Chile,CHL,19603733,15355.506496540584,30208.80553105299,26927.339585611073,FALSE,FALSE
2022,China,CHN,1412175000,12720.21563976122,21475.610527213976,14024.216007823612,FALSE,FALSE
2022,Cote d'Ivoire,CIV,28160542,2486.4121939377696,6538.296419894369,8300.64461394623,FALSE,FALSE
2022,Cameroon,CMR,27914536,1588.4787233869586,4408.0462735492365,5596.201702821138,FALSE,FALSE
2022,"Congo, Dem. Rep.",COD,99010212,586.4642888889553,1337.3911150516878,1549.5948420218356,FALSE,FALSE
2022,"Congo, Rep.",COG,5970424,2447.988988730499,3790.711307011613,4806.435626845759,FALSE,FALSE
2022,Colombia,COL,51874024,6630.282726080533,20287.400263168325,15670.006867104128,FALSE,FALSE
2022,Comoros,COM,836774,1484.8924647254933,3832.468984622503,4868.116969608711,FALSE,FALSE
2022,Cabo Verde,CPV,593149,3902.5890494005894,9082.837643440384,11095.489391021098,FALSE,FALSE
2022,Costa Rica,CRI,5180829,13198.821716809744,24922.659274083933,22260.813482957492,FALSE,FALSE
2022,Cuba,CUB,11212191,NA,NA,NA,FALSE,FALSE
2022,Curacao,CUW,149996,NA,NA,NA,FALSE,FALSE
2022,Cayman Islands,CYM,68706,NA,NA,NA,FALSE,FALSE
2022,Cyprus,CYP,1251488,22724.191315343098,36269.54663301174,37562.63051914076,FALSE,FALSE
2022,Czechia,CZE,10526073,27638.373275628812,49945.50010443752,43394.090403410264,FALSE,FALSE
2022,Germany,DEU,84079811,48432.455873259634,63149.59868980973,68597.84709467206,FALSE,FALSE
2022,Djibouti,DJI,1120849,3136.112960319347,5893.1848634200505,5716.013450038051,FALSE,FALSE
2022,Dominica,DMA,72737,8414.536592767752,13572.972978451611,12619.37978798897,FALSE,FALSE
2022,Denmark,DNK,5903037,66983.13200171386,74005.47851975754,79446.8577102748,FALSE,FALSE
2022,Dominican Republic,DOM,11228821,10120.55116329684,22833.525754803108,17619.50957488557,FALSE,FALSE
2022,Algeria,DZA,44903225,4273.922183115155,13209.59676859633,12270.286746718883,FALSE,FALSE
2022,Ecuador,ECU,18001000,6391.282484306427,12822.113776343816,13737.74948318405,FALSE,FALSE
