year,country,economist_style_country_name,iso3c,pop,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_population_15_to_65,gdp_ppp_over_pop_adjusted_for_hours,estimated_using_past_value,estimated_using_model
2024,Afghanistan,Afghanistan,AFG,42647492,NA,NA,NA,NA,FALSE,TRUE
2024,Angola,Angola,AGO,37885849,2122.083689918716,8347.95279117055,15811.530195127936,10635.61242927163,FALSE,TRUE
2024,Albania,Albania,ALB,2714617,10011.627985666744,23487.993625170253,35460.826683102176,26467.57778910648,FALSE,TRUE
2024,Andorra,Andorra,AND,81938,49303.67338994642,74939.4746038578,103838.5813591318,75299.03160631574,FALSE,TRUE
2024,United Arab Emirates,United Arab Emirates,ARE,10876981,49377.56433843784,77958.89540930356,94930.51466766684,83932.38238195436,FALSE,TRUE
2024,Argentina,Argentina,ARG,45696159,13858.203980200808,30175.535965669893,45734.33109059994,34859.118939708,FALSE,FALSE
2024,Armenia,Armenia,ARM,3033500,8500.605224867184,22823.17952556918,34033.88689348715,24601.615281508355,FALSE,TRUE
2024,Antigua and Barbuda,Antigua and Barbuda,ATG,93772,23725.790372550546,33602.35399579288,47720.12628946675,33728.039327485,FALSE,TRUE
2024,Australia,Australia,AUS,27204809,64407.48425693193,71193.21585097877,110500.19705101127,70969.65158365648,FALSE,FALSE
2024,Austria,Austria,AUT,9178482,56833.1960472053,71617.90174963202,109901.40829095608,78337.57814942597,FALSE,FALSE
2024,Azerbaijan,Azerbaijan,AZE,10202850,7283.835629548724,25088.950176755516,36030.464495216416,27353.01530202125,FALSE,TRUE
2024,Burundi,Burundi,BDI,14047786,153.93021785402345,949.8346131182096,1799.975850330113,1056.8828724129537,FALSE,TRUE
2024,Belgium,Belgium,BEL,11876844,55954.61062610176,72126.00288880884,113681.29883861284,90179.13321922094,FALSE,FALSE
2024,Benin,Benin,BEN,14462724,1485.3801898089391,4434.564218402806,8014.847835075409,5475.9411755576375,FALSE,TRUE
2024,Burkina Faso,Burkina Faso,BFA,23548781,987.3213781018686,2896.1874159375934,5214.015385619313,3563.0854724439105,FALSE,TRUE
2024,Bangladesh,Bangladesh,BGD,173562364,2593.4160739040694,9646.76984383256,14725.058895792285,8502.239680399969,FALSE,FALSE
2024,Bulgaria,Bulgaria,BGR,6444366,17412.411508569036,41086.11941329139,64707.44280024893,39672.66326272711,FALSE,FALSE
2024,Bahrain,Bahrain,BHR,1588670,30048.217771884407,67210.98909474844,86802.4128388666,72164.88902183209,FALSE,TRUE
2024,"Bahamas, The","Bahamas, The",BHS,401283,39455.44665485455,41197.91838299056,58593.4484117612,41352.01395729584,FALSE,TRUE
2024,Bosnia and Herzegovina,Bosnia-Herzegovina,BIH,3164253,8957.372941882144,21971.05039615625,33941.58040133546,22097.805728708045,FALSE,TRUE
2024,Belarus,Belarus,BLR,9133712,8316.64776291533,33006.416667782716,49982.30208145707,31607.89563255138,FALSE,TRUE
2024,Belize,Belize,BLZ,417072,8429.679597073862,15092.780854666891,22066.18441822297,15446.59804393243,FALSE,TRUE
2024,Bolivia,Bolivia,BOL,12413315,4001.211339907954,11189.805509703572,17329.201755030772,11584.057596053,FALSE,TRUE
2024,Brazil,Brazil,BRA,211998573,10280.31486244292,22333.41166425851,32233.80793328103,25170.8646023338,FALSE,FALSE
2024,Barbados,Barbados,BRB,282467,25365.79494241805,22671.946686347892,34243.28678490528,23832.660005995167,FALSE,TRUE
2024,Brunei Darussalam,Brunei,BRN,462721,33417.83577404376,90007.07748554701,124479.31550154011,54360.29830581927,FALSE,TRUE
2024,Bhutan,Bhutan,BTN,791524,4081.4955168166503,17278.82381393985,23801.21009175648,18069.485287348813,FALSE,TRUE
2024,Botswana,Botswana,BWA,2521139,7695.242064181904,20538.132016038584,32174.04080438604,19787.70604232272,FALSE,TRUE
2024,Central African Republic,Central African Republic,CAF,5330690,516.1704245377578,1263.5955427907943,2586.919349598035,1408.3448202233492,FALSE,TRUE
2024,Canada,Canada,CAN,41288599,54282.61760517328,65463.09909933611,100574.6124015526,64508.04374535723,FALSE,FALSE
2024,Switzerland,Switzerland,CHE,9034102,103669.8720081438,93818.7074809256,144269.58073435005,89471.38476195534,FALSE,FALSE
2024,Chile,Chile,CHL,19764771,16709.889397230658,34637.116827914324,50272.49004264845,36274.28480230236,FALSE,FALSE
2024,China,China,CHN,1408975000,13303.14815438684,27104.870267746268,39097.180018479645,19220.65423356686,FALSE,FALSE
2024,Cote d'Ivoire,Ivory Coast,CIV,31934230,2709.8951164125237,7653.45033756026,13541.21510028172,9751.07746410565,FALSE,TRUE
2024,Cameroon,Cameroon,CMR,29123744,1762.368350884402,5591.496397817054,10027.25630645126,6900.020273692176,FALSE,TRUE
2024,"Congo, Dem. Rep.","Congo, Dem. Rep.",COD,109276265,647.4357048360016,1709.7320772417231,3359.5663697004707,1902.4222995197515,FALSE,TRUE
2024,"Congo, Rep.",Congo-Brazzaville,COG,6332961,2482.248947434952,7026.362024320361,12420.955796926004,8713.339773071713,FALSE,TRUE
2024,Colombia,Colombia,COL,52886363,7913.988014645458,21494.60027138527,30728.76157800887,18976.86970768556,FALSE,FALSE
2024,Comoros,Comoros,COM,866628,1784.11546860293,4055.1263343450705,6942.9515709881725,4678.5971126969835,FALSE,TRUE
2024,Cabo Verde,Cape Verde,CPV,524877,5272.852530114179,11261.77064863652,16660.77881085152,11468.799168331509,FALSE,TRUE
2024,Costa Rica,Costa Rica,CRI,5129910,18587.15322036137,30062.84916046792,43584.77399626553,29351.424522129197,FALSE,FALSE
2024,Cuba,Cuba,CUB,10979783,NA,NA,NA,NA,FALSE,TRUE
2024,Cyprus,Cyprus,CYP,1358282,26749.248189623435,42378.74090858091,61142.34891479722,59472.630938335475,FALSE,FALSE
2024,Czechia,Czech Republic,CZE,10882164,31706.623422974237,56805.64676767792,89096.66809431485,55354.03451245339,FALSE,FALSE
2024,Germany,Germany,DEU,83510950,55800.21945494118,72300.12050500108,114955.05121407776,84325.34586815856,FALSE,FALSE
2024,Djibouti,Djibouti,DJI,1168722,3496.4711187676285,7776.226136452013,11785.881657612395,7405.782108140421,FALSE,TRUE
2024,Dominica,Dominica,DMA,66205,10405.27877775819,21300.684869808927,30794.685806125257,21683.02904270557,FALSE,TRUE
2024,Denmark,Denmark,DNK,5976992,71851.75621313682,79514.28543830576,125342.62670660084,92287.99557673212,FALSE,FALSE
2024,Dominican Republic,Dominican Republic,DOM,11427557,10875.661844309156,27541.183570598947,42020.74479617814,23077.629637889735,FALSE,FALSE
2024,Algeria,Algeria,DZA,46814308,5631.179991098512,17552.774247563117,27822.337861141128,17545.786433550962,FALSE,TRUE
2024,Ecuador,Ecuador,ECU,18135478,6874.705739765999,15840.266856741193,23571.77194078076,18429.188830637853,FALSE,FALSE
2024,"Egypt, Arab Rep.",Egypt,EGY,116538258,3338.473713958947,19094.14494441113,30361.636936330426,19260.57458605613,FALSE,TRUE
2024,Eritrea,Eritrea,ERI,3535603,NA,NA,NA,NA,FALSE,TRUE
2024,Spain,Spain,ESP,48807137,35297.00949955659,56926.239902967056,86339.77220945622,66630.17387466805,FALSE,FALSE
2024,Estonia,Estonia,EST,1371986,31170.09150918872,49333.806775829566,78226.82644796532,49621.321335970584,FALSE,FALSE
2024,Ethiopia,Ethiopia,ETH,132059767,NA,3278.4896725793706,5680.963467738306,4033.371082963528,FALSE,TRUE
2024,Finland,Finland,FIN,5637214,53188.618624515766,64091.22518295474,104264.94034884992,72895.98353707713,FALSE,FALSE
2024,Fiji,Fiji,FJI,928784,6288.398672644156,16032.25740861901,24137.78686359905,14678.149852573932,FALSE,TRUE
2024,France,France,FRA,68516699,46150.48768615925,61321.691319445934,99956.59845477344,77896.67192014983,FALSE,FALSE
2024,"Micronesia, Fed. Sts.",Micronesia,FSM,113160,4166.00476748564,4346.2193294552935,6987.24469115703,4055.500665774523,FALSE,TRUE
2024,Gabon,Gabon,GAB,2538952,8218.763070618468,21509.522788355272,36191.26777121936,24724.04185629434,FALSE,TRUE
2024,United Kingdom,Britain,GBR,69226000,52636.7865943852,60620.38077475833,95743.82408829262,64338.40854394588,FALSE,FALSE
2024,Georgia,Georgia,GEO,3673850,9193.6636636149,28417.751866914547,44707.63154117391,31080.671404261033,FALSE,TRUE
2024,Ghana,Ghana,GHA,34427414,2405.794663780829,8027.168423461228,13273.852993998504,10139.633899096783,FALSE,TRUE
2024,Guinea,Guinea,GIN,14754785,1717.0231812077911,4579.101873115413,8229.323014218953,5654.489065942499,FALSE,TRUE
2024,"Gambia, The","Gambia, The",GMB,2759988,908.5256741509636,3445.2515924818476,6079.094695225954,4254.357731913816,FALSE,TRUE
2024,Guinea-Bissau,Guinea-Bissau,GNB,2201352,962.983627901894,3052.691136557279,5261.242097500332,3748.250289387915,FALSE,TRUE
2024,Equatorial Guinea,Equatorial Guinea,GNQ,1892516,6745.400132449185,17566.76002840726,29760.72132293953,21861.386288241654,FALSE,TRUE
2024,Greece,Greece,GRC,10388805,24752.106840168144,44074.295669737665,70136.40275179503,38375.39488626613,FALSE,FALSE
2024,Grenada,Grenada,GRD,117207,11871.611700603122,20167.1993754495,29519.037617212736,20900.16771799439,FALSE,TRUE
2024,Guatemala,Guatemala,GTM,18406359,6150.02597767853,14368.66012418855,22601.63603586996,13275.377547215816,FALSE,TRUE
2024,Guyana,Guyana,GUY,831087,29883.634115200093,79905.7442521973,124649.235446325,76159.68576465304,FALSE,TRUE
